,airline_name,review_title,review_description,review_date,rating_stars,travel_date,user_location,Seat comfort,Customer service,Cleanliness,Food and Beverage,Legroom,In-flight Entertainment,Value for money,Check-in and boarding
0,saudia_airlines,If you have no other choice or are on a limited budget,"Probably the worst airline I have ever flown with. Delayed, lost baggage, food was shocking and the flight crew looked like they couldn't be bothered throughout. Inflight entertainment was shocking also. ","October 6, 2023",1,Date of travel: September 2023,,3,1,3,1,3,1,2,1
1,saudia_airlines,DO NOT FLY SAUDIA,"unreliable, keeps changing flight times and dates and unresponsive to emails, cancelled before even getting on the flight","October 5, 2023",2,Date of travel: October 2023,,0,0,0,0,0,0,0,0
2,saudia_airlines,You are fare from Saudi vision 2030,"The service on board is perfect. The problem is regarding al fursan, shame on you always you forget to give us our miles and when we call you i need at least 3 days by calling you and wait minium 30 mn.This is not the way to have a great vision for 2030 !!!!!","October 2, 2023",1,Date of travel: August 2023,,0,0,0,0,0,0,0,0
3,saudia_airlines,Worst customer service ,"Flight Number SV551, from JED to DXB. I would like to bring to your attention the various issues my friend and I encountered during this flight.Upon reaching the check-in counter, I experienced a considerable delay in obtaining my boarding pass due to customers taking an extended amount of time to address baggage weight and contents. The ground staff, during this time, engaged in unprofessional behaviour by laughing and joking amongst themselves, disregarding the inconvenience faced by the waiting customers.Accompanying me was my friend, who required wheelchair assistance due to a fractured ankle. Contrary to usual procedures at other airports, Saudi Airlines required us to proceed to gate 1 to request a wheelchair from customer service. This unexpected deviation from standard protocol contributed to further delays. Despite the challenges posed by the fractured ankle, we rushed to reach the boarding gate (13A), which was the last call for boarding, only to be met with a supervisor displaying extreme rudeness, arrogance, and disrespect towards us.Moreover, at the baggage claim area, we were made to wait for an extended period of 50 minutes before being informed that our baggage had not been offloaded and was still on the flight. To exacerbate the situation, the assistance provided by various customer service agents yielded inconsistent and conflicting information, leaving us without proper guidance or assistance throughout the process.I am profoundly disappointed with the overall service provided by Saudi Airlines during this flight. The lack of professionalism, disregard for passengers' needs, and inadequate communication are unacceptable and reflect poorly on the airline's reputation. This was my first and last flight with Saudi Airlines.","October 2, 2023",1,Date of travel: October 2023,,0,1,0,0,0,0,0,1
4,saudia_airlines,Dissatisfaction and unprofessionalism from Saudia Airlines,"I am writing this about my experience regarding a highly distressing incident that occurred during my recent travel experience with Saudia Airline on 29th September and flight number SV598 .I believe it is essential to bring this matter to your attention to ensure that such incidents are thoroughly investigated and appropriate actions are taken.On 29th September 2023, my family and I were scheduled to depart on the above-mentioned flight from Jeddah Airport to Dubai. We arrived at the gate well in advance, approximately 25 minutes before the scheduled departure time, which should have allowed us plenty of time to board the flight. However, the events that unfolded at the gate were both bewildering and deeply disappointing.At the time of boarding, my father and my younger brother were at the prayer hall within the airport while I had went to call them, while my mother, sister, elder brother,were present at the boarding gate. We were well within the airline's required boarding time frame, with approximately 5 minutes to spare.However, during this brief window, the gate manager displayed a complete lack of professionalism and customer service. Instead of exercising patience for the remaining members of our family to arrive, he began shouting at my mother and insisted that we exit the aircraft immediately. He even threatened to call security to forcibly remove us from the flight.Despite the fact that three of our family members were already on gate, the gate manager's actions resulted in all of us being deboarded from the flight. This not only caused significant distress but also led to us missing our flight entirely.It is important to emphasize that my mother was unwell and not in the best condition during this ordeal. The treatment we received at the hands of your staff was not only unjust but also deeply concerning from a customer service perspective.We approached the station manager of Saudi Airlines at Jeddah Airport to address our dissatisfaction and seek assistance. Regrettably, he displayed a dismissive attitude, refused to take responsibility, and advised us to file a complaint online.This incident has left us profoundly dissatisfied with the level of service and professionalism demonstrated by your airline's staff. We firmly believe that the behavior and actions of the gate manager were unjustified and unbecoming of any airline's standards.We kindly request a thorough investigation into this incident and appropriate measures to ensure that such incidents are not repeated in the future. We also seek a response from your airline regarding the steps taken to address this matter.Please consider this letter as an official complaint, and we look forward to your prompt and satisfactory resolution of this matter. We trust that your airline will take the necessary steps to maintain the high standards of customer service and expect proper compensation for this ordeal and distress.Sincerely,Mustaq +971 ","September 30, 2023",1,Date of travel: August 2023,,1,1,1,0,1,1,1,1
5,saudia_airlines,Worst flight crew! ,If you can choose a different airlines kindly avoid SAUDI AIRLINES. Very rude crews. Not worth the money! ,"September 30, 2023",1,Date of travel: September 2023,,1,2,1,1,1,1,1,1
6,saudia_airlines,Poor customer service and organisation,"One long line on the check-in, with all destination mixed.In the middle of line, I've asked an employee and told me to stay in line, and he will call check'in passengers for my flight if any.At the desk (crowded poeple/not in line), he checked-in many (same employee), and once my turne said, it's closed. I couldn't take my fligh and I had to pay a new ticket.BTw, food is terrible and Customer service isnt' above the average","September 30, 2023",1,Date of travel: September 2023,,3,1,2,1,3,1,2,1
7,saudia_airlines,Worst experience,"Worst experience ever, I lost my baggage at baggage claim when arriving at istanbul airport. Not only me but many people also lost their baggage. I plan to travel to Izmir tomorrow morning. they have no solution and the estimated service time is 2 months. There is no guarantee if the item is not found. very disappointing.","September 29, 2023",1,Date of travel: September 2023,,0,0,0,0,0,0,0,0
8,saudia_airlines,Shocking experience,"Absolutely shocking. They lost my baggage (which is actually the fault of the airport) but customer service is absolutely non existent. There is an automated line but it's impossible to speak to a real person and there is no other channel. I can understand something like this from a low cost airline, not one where you spend $800 for a ticket!Not to mention (minor issue) that the planes are extremely old - they didn't even have a screen to watch movies...","September 29, 2023",1,Date of travel: September 2023,"London, United Kingdom",1,2,4,2,2,1,1,4
9,saudia_airlines,Exceptional service! Thank you Huda,"Was pleasantly surprised by Saudi Airlines. Travelled from Bham UK to Jeddah Saudi to Islamabad Pakistan. Service from staff on all flights was exceptional, facilities on the newer and bigger aircrafts was also impressive, from the entertainment to having plug chargers in the chairs. Also the snacks and meals, as well as the prayer room facility on board. Children also given little gifts on the flight and staff are very accommodating, you are provided with headphones, pillow and blanket during the flight. The smaller planes have less facilities and some of the entertainment did not work, you also had to request for items like pillows and Blankets and they were limited. In total during this trip I travelled on 4 Saudi Airline planes as I had to take connecting flights. My 3rd flight from Islamabad to Jeddah, I fell incredibly sick on the flight due to food poisoning from the country I travelled from. The staff were exceptional, specifically Huda the air hostess on the flight, she went above and beyond to help me on the flight, they also made an announcement for a Doctor, who looked after me during the flight. The flight was 6 hours and they treatment me with the upmost compassion and kindness. I will always feel indebted to them for taking care of me during such an awful time. I can't thank you enough.I believe I would use Saudi Airlines again as I had a great experience with them.","September 29, 2023",5,Date of travel: September 2023,,5,5,5,5,5,5,5,5
